Data do Jogo,Adversário,V/D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3,Cestas de 3 PTS Marcados,Tempo em Quadra,Player_Name,Season
2025-01-06,DAL,W,Casa,35.0,10.0,5.0,35.0 - ?,2.0,1.0,34.0,Jaren Jackson Jr.,2024-25
2025-01-04,GSW,L,Fora,23.0,9.0,2.0,23.0 - ?,3.0,0.0,36.0,Jaren Jackson Jr.,2024-25
2025-01-03,SAC,L,Fora,28.0,6.0,5.0,28.0 - ?,9.0,3.0,34.0,Jaren Jackson Jr.,2024-25
2024-12-31,PHX,W,Fora,38.0,10.0,4.0,38.0 - ?,9.0,4.0,38.0,Jaren Jackson Jr.,2024-25
2024-12-29,OKC,L,Fora,13.0,5.0,4.0,13.0 - ?,6.0,0.0,25.0,Jaren Jackson Jr.,2024-25
2024-12-27,NOP,W,Fora,33.0,5.0,3.0,33.0 - ?,6.0,4.0,35.0,Jaren Jackson Jr.,2024-25
2024-12-26,TOR,W,Casa,21.0,10.0,6.0,21.0 - ?,3.0,1.0,32.0,Jaren Jackson Jr.,2024-25
2024-12-23,LAC,L,Casa,24.0,6.0,3.0,24.0 - ?,7.0,1.0,30.0,Jaren Jackson Jr.,2024-25
2024-12-21,ATL,W,Fora,13.0,5.0,1.0,13.0 - ?,5.0,1.0,25.0,Jaren Jackson Jr.,2024-25
2024-12-19,GSW,W,Casa,17.0,6.0,5.0,17.0 - ?,2.0,1.0,20.875,Jaren Jackson Jr.,2024-25
2024-12-15,LAL,L,Fora,25.0,5.0,2.0,25.0 - ?,3.0,2.0,29.0,Jaren Jackson Jr.,2024-25
2024-12-13,BKN,W,Casa,20.0,7.0,2.0,20.0 - ?,6.0,3.0,32.0,Jaren Jackson Jr.,2024-25
2024-12-08,WAS,W,Fora,21.0,4.0,1.0,21.0 - ?,8.0,3.0,20.875,Jaren Jackson Jr.,2024-25
2024-12-07,BOS,W,Fora,27.0,9.0,1.0,27.0 - ?,4.0,3.0,34.0,Jaren Jackson Jr.,2024-25
